samp,subpop,trial,odor,value,odor_order
230913_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0056135217,2
230913_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0009591282,2
230914_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.004543218,2
230914_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0,2
230914_FCV_GCaMP6f_F2,FCV,1,hexanal2.825,0.008547848,2
230914_FCV_GCaMP6f_F2,FCV,2,hexanal2.825,0.004030563,2
230914_FCV_GCaMP6f_F3,FCV,1,hexanal2.825,0.053426564,2
230914_FCV_GCaMP6f_F3,FCV,2,hexanal2.825,0.018306201,2
230915_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0042146742,2
230915_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.007305761,2
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.0,3
230913_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.017383868,3
230913_ORL_GCaMP6f_F2,ORL,1,heptanal4.51,0.015861807,3
230913_ORL_GCaMP6f_F2,ORL,2,heptanal4.51,0.017619142,3
230914_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.08931828,3
230914_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.12194934,3
230914_ORL_GCaMP6f_F2,ORL,1,heptanal4.51,0.03951415,3
230914_ORL_GCaMP6f_F2,ORL,2,heptanal4.51,0.040249318,3
230915_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.016510872,3
230915_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.016570572,3
230913_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.01397259,3
230913_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.013095235,3
230913_U52_GCaMP6f_F3,U52,1,heptanal4.51,0.041035704,3
230913_U52_GCaMP6f_F3,U52,2,heptanal4.51,0.041357145,3
230914_U52_GCaMP6f_F1,U52,1,heptanal4.51,0.047776334,3
230914_U52_GCaMP6f_F1,U52,2,heptanal4.51,0.031520147,3
230914_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.04175639,3
230914_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.0102097215,3
230915_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.029883854,3
230915_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.016010229,3
230913_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.013060724,3
230913_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.008114384,3
230914_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.06390349,3
230914_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.04259371,3
230914_FCV_GCaMP6f_F2,FCV,1,heptanal4.51,0.07208195,3
230914_FCV_GCaMP6f_F2,FCV,2,heptanal4.51,0.028463118,3
230914_FCV_GCaMP6f_F3,FCV,1,heptanal4.51,0.11907547,3
230914_FCV_GCaMP6f_F3,FCV,2,heptanal4.51,0.05137212,3
230915_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.05314032,3
230915_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.020181125,3
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.01724188,4
230913_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.021018201,4
230913_ORL_GCaMP6f_F2,ORL,1,heptanal4.065,0.0,4
230913_ORL_GCaMP6f_F2,ORL,2,heptanal4.065,0.021875588,4
230914_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.044624902,4
230914_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.0260768,4
230914_ORL_GCaMP6f_F2,ORL,1,heptanal4.065,0.008274697,4
230914_ORL_GCaMP6f_F2,ORL,2,heptanal4.065,0.010896677,4
230915_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.0,4
230915_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.0010523838,4
230913_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.0025625797,4
230913_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.01609894,4
230913_U52_GCaMP6f_F3,U52,1,heptanal4.065,0.009061075,4
230913_U52_GCaMP6f_F3,U52,2,heptanal4.065,0.002786445,4
230914_U52_GCaMP6f_F1,U52,1,heptanal4.065,0.028791754,4
230914_U52_GCaMP6f_F1,U52,2,heptanal4.065,0.014078452,4
230914_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.013847216,4
230914_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.03165378,4
230915_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.030400509,4
230915_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.011714476,4
230913_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.006904582,4
230913_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.0009001739,4
230914_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.055325937,4
230914_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.005225574,4
230914_FCV_GCaMP6f_F2,FCV,1,heptanal4.065,0.028219843,4
230914_FCV_GCaMP6f_F2,FCV,2,heptanal4.065,0.013025369,4
230914_FCV_GCaMP6f_F3,FCV,1,heptanal4.065,0.07372234,4
230914_FCV_GCaMP6f_F3,FCV,2,heptanal4.065,0.017486077,4
230915_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.044653196,4
230915_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.017861964,4
230913_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.00036207793,5
230913_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.007972551,5
230913_ORL_GCaMP6f_F2,ORL,1,heptanal3.44,0.0019253285,5
230913_ORL_GCaMP6f_F2,ORL,2,heptanal3.44,0.030291077,5
230914_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.011402318,5
230914_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.02778107,5
230914_ORL_GCaMP6f_F2,ORL,1,heptanal3.44,0.019412562,5
230914_ORL_GCaMP6f_F2,ORL,2,heptanal3.44,0.0085641425,5
230915_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.0002502711,5
230915_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.0005098546,5
230913_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.0026977449,5
230913_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0016406261,5
230913_U52_GCaMP6f_F3,U52,1,heptanal3.44,0.0030683286,5
230913_U52_GCaMP6f_F3,U52,2,heptanal3.44,0.010722798,5
230914_U52_GCaMP6f_F1,U52,1,heptanal3.44,0.0041878754,5
230914_U52_GCaMP6f_F1,U52,2,heptanal3.44,0.0041525057,5
230914_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.014062701,5
230914_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0016714601,5
230915_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.002116336,5
230915_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0011664073,5
230913_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.0007779926,5
230913_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.006621225,5
230914_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.0067271246,5
230914_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.010582625,5
230914_FCV_GCaMP6f_F2,FCV,1,heptanal3.44,0.009638399,5
230914_FCV_GCaMP6f_F2,FCV,2,heptanal3.44,0.014264222,5
230914_FCV_GCaMP6f_F3,FCV,1,heptanal3.44,0.022087377,5
230914_FCV_GCaMP6f_F3,FCV,2,heptanal3.44,0.019223843,5
230915_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.002842412,5
230915_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.007724248,5
230913_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.02699688,6
230913_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.039402444,6
230913_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.09327229,6
230913_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.11553082,6
