230913_ORL_GCaMP6f_F1,230913_ORL_GCaMP6f_F2,230914_ORL_GCaMP6f_F1,230914_ORL_GCaMP6f_F2,230915_ORL_GCaMP6f_F1,230913_U52_GCaMP6f_F2,230913_U52_GCaMP6f_F3,230914_U52_GCaMP6f_F1,230914_U52_GCaMP6f_F2,230915_U52_GCaMP6f_F2,230913_FCV_GCaMP6f_F1,230914_FCV_GCaMP6f_F1,230914_FCV_GCaMP6f_F2,230914_FCV_GCaMP6f_F3,230915_FCV_GCaMP6f_F1
0.00021118205,0.00018681072,0.00056284014,0.00045538705,-0.0003175205,0.0005975429,0.0009717479,0.0020811106,0.00057663623,0.001237658,-1.0659539e-06,0.0020890783,7.763987e-05,0.000919559,-1.6261146e-07
-0.00014315844,-7.252918e-05,0.00029360267,0.00024272969,-3.5636032e-05,0.0005050733,0.0003350072,0.001641175,0.0005176984,0.00042215295,9.2986505e-05,0.002072113,0.00026446974,0.0005484065,-0.0001567467
-0.00015352879,0.00080429175,0.0004149873,0.00040026446,0.0003419442,0.00024863365,0.0002862223,0.001655681,0.0005768837,0.0007209161,-0.000556841,0.0012357342,4.852923e-05,0.00059257395,-0.0024664355
0.00015412216,0.00063126005,0.00018129579,0.0005666183,9.5818694e-05,0.00015275663,0.00016054694,0.0011811535,0.0005491615,0.000570179,2.69461e-05,0.0009604178,6.01233e-05,0.0004086967,-0.0007259085
-0.0002900244,0.0005018019,1.5796306e-05,0.0003650042,-0.00013930556,9.065862e-05,0.00030733558,0.000960205,0.00011237954,0.0005619396,2.1253541e-05,0.0014338292,5.338399e-05,0.0003082913,-0.0006956205
0.0002671103,0.0001847472,-0.0005649315,3.083671e-05,-0.00017672354,0.00037768143,0.00014178256,0.00061268767,0.00029566739,0.0006172521,3.1066844e-05,-0.00017474977,-0.00011183012,0.0002281232,-0.00049699284
-0.00012551148,0.00026682945,-0.0019416553,-0.0001272044,-1.0920701e-06,-1.8152543e-05,0.00033941036,0.00069759414,0.0004645382,0.0004567173,4.7096426e-05,-0.00015012796,4.8979673e-05,-5.7560053e-05,-0.00026759875
0.00033712035,0.00021686134,-0.00025287556,1.3839203e-05,-0.00043997527,-0.00011483696,0.00044252194,-6.8390924e-05,-2.0851592e-06,-0.00022911553,-0.000117141804,-0.00036389858,-7.5571326e-05,-0.00061639835,-0.00023977777
1.683444e-05,4.793962e-05,-0.0001641448,0.0001085814,3.1167092e-05,-0.00032964663,0.0005254039,-0.0002975967,3.1998403e-05,-7.089483e-05,-0.00026579582,-0.00024096401,-7.391221e-05,-0.00037464977,-0.00010836908
-0.00017136498,-1.3900008e-05,0.0002481608,3.7915648e-05,-1.4915025e-05,-3.9300798e-05,0.00034536718,-0.00018278492,0.00022769858,-0.0003753819,7.716491e-05,-0.00047664015,-0.0001815925,-0.0004554729,0.00040443122
-0.00013724777,-0.0003692688,0.00013706264,-0.00017158981,-0.00018436104,-0.00016979015,-0.00015250593,-0.0007753578,4.4835775e-05,6.5214605e-05,0.00022524293,-0.0005420584,-0.0003334298,-0.00023527445,0.0005213144
7.685066e-05,-0.00060682104,0.0004121009,2.0889545e-05,0.00012982322,6.307332e-05,-0.00011364022,-0.0008021127,4.711461e-05,0.00015623795,8.740822e-05,-0.0009137103,0.000112701266,-0.00012229684,0.00058233395
-8.1080674e-05,-0.00094378955,0.00012711812,-0.00032316305,0.00021360634,-0.00013176368,-0.00019795827,-0.000910856,0.00012740745,0.00013987404,0.00019838239,-0.0010409476,-0.00013049059,-0.00038613979,0.0007041721
-2.0965226e-06,-0.00046443427,0.00030666712,-0.0004133526,0.00021166638,-9.4481264e-05,-0.00029204125,-0.001109747,-8.2800456e-05,-0.0008719665,-9.348698e-05,-0.0007096394,0.00023949884,-0.00023022377,0.00061201205
0.00021198083,-0.00023113968,0.00042682362,0.00018359954,-2.432648e-05,-0.00026115723,-0.00047778283,-0.00078038604,-8.6227745e-05,-0.0006440267,0.00026648026,-0.0009031624,0.00030215568,-0.00026496098,0.000323955
-0.00011808427,-0.00012508428,5.174196e-06,-0.00016930081,0.00039385358,-0.00026619554,-0.00053245015,-0.000946752,-0.0004185312,-0.0002874356,0.00028572246,-0.00087368145,-0.00029555662,-0.00017203587,0.0005958072
3.2483367e-05,1.1574226e-05,-0.00022958877,-0.00039610668,0.00029210642,-0.00013550719,-0.0006119672,-0.0010671525,-0.00069190655,-0.00047627973,-8.324154e-05,-0.0002720975,-3.8001426e-06,-0.00021747728,0.0004626019
-6.0990744e-05,-9.568556e-05,-0.00012586822,-0.00039305672,9.535048e-06,-7.625317e-05,-0.00034570217,-0.0005531877,-0.0008418219,-0.0006999933,3.4259192e-05,-0.00041159533,-1.3965891e-05,0.00016433088,0.00027938536
