samp,subpop,trial,odor,value,odor_order,value_detrended
230915_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0005816169,2,0.0005920327673282071
230915_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0003414665,38,0.00047842505682274295
230913_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.00086274697,2,0.0009018935070421491
230913_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0011048415,38,0.002567228431778924
230913_U52_GCaMP6f_F3,U52,1,hexanal2.825,0.0009691549,2,0.0009743781324495099
230913_U52_GCaMP6f_F3,U52,2,hexanal2.825,0.0010015095,38,0.0011091937076267446
230914_U52_GCaMP6f_F1,U52,1,hexanal2.825,0.000716233,2,0.0007493869955184874
230914_U52_GCaMP6f_F1,U52,2,hexanal2.825,0.0011261745,38,0.002660666062985288
230914_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0038529413,2,0.004037343114265926
230914_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.00064775615,38,0.0015746122237467433
230915_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0010821072,2,0.001116456969807313
230915_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0012964318,38,0.0023475347182566673
230914_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0014892041,2,0.0015466894625338823
230914_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.000812875,38,0.0016693712644856283
230914_FCV_GCaMP6f_F2,FCV,1,hexanal2.825,0.0008244229,2,0.0008563538153302665
230914_FCV_GCaMP6f_F2,FCV,2,hexanal2.825,0.0008200208,38,0.0016880506924719385
230914_FCV_GCaMP6f_F3,FCV,1,hexanal2.825,0.0020893924,2,0.0021632750624825457
230914_FCV_GCaMP6f_F3,FCV,2,hexanal2.825,0.00042057212,38,0.0008139231691985316
230915_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0028171989,2,0.0029697954946701285
230915_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0012084439,38,0.00329229042016412
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.0012594517,3,0.001241398997603144
230913_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.0024783728,39,0.002054258007417635
230913_ORL_GCaMP6f_F2,ORL,1,heptanal4.51,0.0018497712,3,0.0018581139274584334
230913_ORL_GCaMP6f_F2,ORL,2,heptanal4.51,0.0011187904,39,0.0011861919116432518
230914_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.003494178,3,0.003507305766678424
230914_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.0055926833,39,0.005872081612982803
230914_ORL_GCaMP6f_F2,ORL,1,heptanal4.51,0.0025497188,3,0.002630819983987309
230914_ORL_GCaMP6f_F2,ORL,2,heptanal4.51,0.0034023758,39,0.0051117226060241145
230915_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.00076562644,3,0.0007862850412173977
230915_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.00053303665,39,0.0007534895757472679
230913_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.0011211766,3,0.0011983446781164391
230913_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.0010858811,39,0.002579780276531225
230913_U52_GCaMP6f_F3,U52,1,heptanal4.51,0.0032603224,3,0.0032867150015566636
230913_U52_GCaMP6f_F3,U52,2,heptanal4.51,0.00391734,39,0.00435021536051731
230914_U52_GCaMP6f_F1,U52,1,heptanal4.51,0.0042442647,3,0.0045423458661592465
230914_U52_GCaMP6f_F1,U52,2,heptanal4.51,0.00232926,39,0.005628965179590622
230914_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.0018914738,3,0.0020288747186179056
230914_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.0014909003,39,0.0037099009037123106
230915_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.0015193853,3,0.0015923021229963417
230915_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.00043431588,39,0.0007988291582637336
230914_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.004627523,3,0.00489803564390192
230914_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.002323145,39,0.004862167718709475
230914_FCV_GCaMP6f_F2,FCV,1,heptanal4.51,0.0024339114,3,0.002576674445597846
230914_FCV_GCaMP6f_F2,FCV,2,heptanal4.51,0.0008628559,39,0.0018102997195723527
230914_FCV_GCaMP6f_F3,FCV,1,heptanal4.51,0.004600146,3,0.004846287956554407
230914_FCV_GCaMP6f_F3,FCV,2,heptanal4.51,0.0009544565,39,0.0018795112874168513
230915_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.0044685486,3,0.0048364871314092
230915_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.0010285915,39,0.0028771936461542747
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.0010696218,4,0.0010492284956499667
230913_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.0027941905,40,0.0023049118674284817
230913_ORL_GCaMP6f_F2,ORL,1,heptanal4.065,0.0012602983,4,0.0012678828206082765
230913_ORL_GCaMP6f_F2,ORL,2,heptanal4.065,0.0021814227,40,0.0023163143463236515
230914_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.0011032072,4,0.0011087370491022414
230914_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.0030955996,40,0.0032543143854331783
230914_ORL_GCaMP6f_F2,ORL,1,heptanal4.065,0.002359624,4,0.0024602237087122144
230914_ORL_GCaMP6f_F2,ORL,2,heptanal4.065,0.0006056561,40,0.00091948371505568
230915_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.00083970634,4,0.0008700513522458252
230915_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.00064943556,40,0.0009262124318744593
230913_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.00057379756,4,0.0006270502313284619
230913_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.0008745081,40,0.002124223402363839
230913_U52_GCaMP6f_F3,U52,1,heptanal4.065,0.00055891025,4,0.0005649509457541318
230913_U52_GCaMP6f_F3,U52,2,heptanal4.065,0.0006723116,40,0.0007486128221738803
230914_U52_GCaMP6f_F1,U52,1,heptanal4.065,0.0009920207,4,0.0010859863963157217
230914_U52_GCaMP6f_F1,U52,2,heptanal4.065,0.00077860063,40,0.0019246477526096602
230914_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.0022383472,4,0.002457728959559309
230914_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.0012591213,40,0.003207250720285837
230915_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.002316011,4,0.0024653808762928105
230915_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.0006528736,40,0.001219728463914222
230914_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.002055061,4,0.0022167796424195003
230914_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.00074706436,40,0.0015934413690894915
230914_FCV_GCaMP6f_F2,FCV,1,heptanal4.065,0.0005356421,4,0.0005779377790430133
230914_FCV_GCaMP6f_F2,FCV,2,heptanal4.065,0.0006999696,40,0.0014967283507506704
230914_FCV_GCaMP6f_F3,FCV,1,heptanal4.065,0.0027019975,4,0.002896465829445138
230914_FCV_GCaMP6f_F3,FCV,2,heptanal4.065,0.0006618331,40,0.0013261209879046176
230915_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.0028856224,4,0.003206694363571884
230915_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.0012624142,40,0.0036256222163322488
230913_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.0012052164,5,0.0011765620110621602
230913_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.0018288807,41,0.0015013904424553103
230913_ORL_GCaMP6f_F2,ORL,1,heptanal3.44,0.0018942346,5,0.0019084947682865986
230913_ORL_GCaMP6f_F2,ORL,2,heptanal3.44,0.0018826928,41,0.0020021129391151944
230914_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.0010264963,5,0.0010329319924644454
230914_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.003237706,41,0.0034079640300378935
230914_ORL_GCaMP6f_F2,ORL,1,heptanal3.44,0.0028385457,5,0.002990615872305542
230914_ORL_GCaMP6f_F2,ORL,2,heptanal3.44,0.0011749861,41,0.0018025346580136062
230915_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.00033213082,5,0.0003472010223885049
230915_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.0004441911,41,0.0006391440601674561
230913_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.0006165855,5,0.0006889264380923413
230913_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.00048197535,41,0.0011970080990563294
230913_U52_GCaMP6f_F3,U52,1,heptanal3.44,0.0016862417,5,0.0017090534963478208
230913_U52_GCaMP6f_F3,U52,2,heptanal3.44,0.0033227592,41,0.0037098187541842868
230914_U52_GCaMP6f_F1,U52,1,heptanal3.44,0.0009981736,5,0.0011177267442974096
230914_U52_GCaMP6f_F1,U52,2,heptanal3.44,0.0005039046,41,0.00127412119922926
230914_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.0011719846,5,0.0013172859891177268
230914_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.00093224406,41,0.002430785286645524
230915_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.0014923993,5,0.0016136683949564815
230915_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0003381776,41,0.0006417483195936244
230914_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.0016680299,5,0.001833690732251272
230914_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.0013869472,41,0.0030148273740522903
230914_FCV_GCaMP6f_F2,FCV,1,heptanal3.44,0.0007505871,5,0.0008253897510584218
230914_FCV_GCaMP6f_F2,FCV,2,heptanal3.44,0.0006606761,41,0.0014398060624220357
230914_FCV_GCaMP6f_F3,FCV,1,heptanal3.44,0.0007780828,5,0.0008487018487040533
230914_FCV_GCaMP6f_F3,FCV,2,heptanal3.44,0.00078185345,41,0.0015940644938126232
230915_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.00268347,5,0.003061747199183253
230915_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.0011508908,41,0.0033936676907375834
230913_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.0014593396,6,0.0014178037290781137
230913_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.0035066046,42,0.002864870701738459
230913_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.004481674,6,0.004522191119547776
230913_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.0047496865,42,0.005058543600434597
230914_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.009791961,6,0.009865676796193254
230914_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.0078683905,42,0.008292516907384414
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.015272148,6,0.016259149188402707
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.00986436,42,0.015291593937223352
230915_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.0062848693,6,0.006628609450856463
230915_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.0051283357,42,0.0074449144980778675
230913_U52_GCaMP6f_F2,U52,1,octanal4.58,0.006829765,6,0.00780227428318307
230913_U52_GCaMP6f_F2,U52,2,octanal4.58,0.0029914265,42,0.0075960271252289695
230913_U52_GCaMP6f_F3,U52,1,octanal4.58,0.008699742,6,0.008841162478073244
230913_U52_GCaMP6f_F3,U52,2,octanal4.58,0.0047276397,42,0.00529255476490005
230914_U52_GCaMP6f_F1,U52,1,octanal4.58,0.014587733,6,0.016708723863539235
230914_U52_GCaMP6f_F1,U52,2,octanal4.58,0.006125448,42,0.01584259021375069
230914_U52_GCaMP6f_F2,U52,1,octanal4.58,0.005797545,6,0.006670431510639768
230914_U52_GCaMP6f_F2,U52,2,octanal4.58,0.0014382475,42,0.0038388596583901952
230915_U52_GCaMP6f_F2,U52,1,octanal4.58,0.008711881,6,0.009568129446430082
230915_U52_GCaMP6f_F2,U52,2,octanal4.58,0.0037200626,42,0.007170608339281449
230914_FCV_GCaMP6f_F1,FCV,1,octanal4.58,0.008796455,6,0.009854949333684953
230914_FCV_GCaMP6f_F1,FCV,2,octanal4.58,0.006070458,42,0.013447713011532459
230914_FCV_GCaMP6f_F2,FCV,1,octanal4.58,0.0075855013,6,0.008501466700286507
230914_FCV_GCaMP6f_F2,FCV,2,octanal4.58,0.002177157,42,0.004835670991478151
230914_FCV_GCaMP6f_F3,FCV,1,octanal4.58,0.007749077,6,0.00860052922793872
230914_FCV_GCaMP6f_F3,FCV,2,octanal4.58,0.0031589826,42,0.006553504952187837
230915_FCV_GCaMP6f_F1,FCV,1,octanal4.58,0.00640869,6,0.007507517725202016
230915_FCV_GCaMP6f_F1,FCV,2,octanal4.58,0.0020746375,42,0.006281045450445368
230913_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.0011110341,7,0.0010742295460265598
230913_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.0019507577,43,0.0015861034708336897
230913_ORL_GCaMP6f_F2,ORL,1,octanal4.09,0.0016343339,7,0.0016515848147600016
230913_ORL_GCaMP6f_F2,ORL,2,octanal4.09,0.0015147608,43,0.0016156826142023255
230914_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.004520811,7,0.004560541664417232
230914_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.0035150163,43,0.003709118185508137
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.09,0.0029900635,7,0.0032167036519598112
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.09,0.0022950666,43,0.0035951091872950636
230915_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.0005918889,7,0.0006298262252203368
230915_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.0004018987,43,0.0005886460485766602
230913_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0031954034,7,0.0037323043818492693
230913_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0010442359,43,0.002711082283551684
230913_U52_GCaMP6f_F3,U52,1,octanal4.09,0.004836453,7,0.004928299999115086
230913_U52_GCaMP6f_F3,U52,2,octanal4.09,0.0031216228,43,0.0035040361675376303
230914_U52_GCaMP6f_F1,U52,1,octanal4.09,0.0067331535,7,0.007888599433167245
230914_U52_GCaMP6f_F1,U52,2,octanal4.09,0.0028374284,43,0.007506528803537314
230914_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0010394042,7,0.0012241817533639474
230914_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0011890884,43,0.0032488853332787474
230915_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0014580949,7,0.0016266224047490666
230915_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0012527071,43,0.0024526814356767607
230914_FCV_GCaMP6f_F1,FCV,1,octanal4.09,0.0050640358,7,0.0057818647648397396
230914_FCV_GCaMP6f_F1,FCV,2,octanal4.09,0.002662721,43,0.006011420233051151
230914_FCV_GCaMP6f_F2,FCV,1,octanal4.09,0.0033755908,7,0.0038557685856657822
230914_FCV_GCaMP6f_F2,FCV,2,octanal4.09,0.00085069647,43,0.0019257203614262421
230914_FCV_GCaMP6f_F3,FCV,1,octanal4.09,0.004672988,7,0.005277347983966304
230914_FCV_GCaMP6f_F3,FCV,2,octanal4.09,0.0010189301,43,0.0021508823541405843
230915_FCV_GCaMP6f_F1,FCV,1,octanal4.09,0.0042928318,7,0.005163277789867013
230915_FCV_GCaMP6f_F1,FCV,2,octanal4.09,0.0011525018,43,0.0035824970515656806
230913_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.0009444101,8,0.0009087413404965015
230913_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.0018536602,44,0.0014999205963645333
230913_ORL_GCaMP6f_F2,ORL,1,octanal3.525,0.0018168074,8,0.0018387404237468275
230913_ORL_GCaMP6f_F2,ORL,2,octanal3.525,0.0020539844,44,0.0021941210127221604
230914_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.00048319704,8,0.0004880532509865754
230914_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.003048083,44,0.0032204234864019214
230914_ORL_GCaMP6f_F2,ORL,1,octanal3.525,0.0029208364,8,0.003175198066729273
230914_ORL_GCaMP6f_F2,ORL,2,octanal3.525,0.00036887664,44,0.0005838898074804937
230915_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.0005370136,8,0.0005765277189959797
230915_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.0009793238,44,0.0014471658456494058
230913_U52_GCaMP6f_F2,U52,1,octanal3.525,0.00080360135,8,0.0009596832795382948
230913_U52_GCaMP6f_F2,U52,2,octanal3.525,0.0006327292,44,0.001679569058177216
230913_U52_GCaMP6f_F3,U52,1,octanal3.525,0.0017166114,8,0.0017539181556469594
230913_U52_GCaMP6f_F3,U52,2,octanal3.525,0.0027001703,44,0.003039110412402802
230914_U52_GCaMP6f_F1,U52,1,octanal3.525,0.0022535967,8,0.0027007444932850636
230914_U52_GCaMP6f_F1,U52,2,octanal3.525,0.0009549579,44,0.002584189648881676
230914_U52_GCaMP6f_F2,U52,1,octanal3.525,0.0017153673,8,0.0020680936207624198
230914_U52_GCaMP6f_F2,U52,2,octanal3.525,0.0012409526,44,0.0034707798539796437
230915_U52_GCaMP6f_F2,U52,1,octanal3.525,0.0015485485,8,0.0017547353372739547
230915_U52_GCaMP6f_F2,U52,2,octanal3.525,0.0004903724,44,0.0009752219659289958
230914_FCV_GCaMP6f_F1,FCV,1,octanal3.525,0.0027014674,8,0.0031433688496861996
