sample	subpop	trial	odor	peak_value
230914_FCV_GCaMP6f_F1	FCV	2	hexanal2.825	0.0007532272
230914_FCV_GCaMP6f_F2	FCV	1	hexanal2.825	0.0012312157
230914_FCV_GCaMP6f_F2	FCV	2	hexanal2.825	0.00058476423
230914_FCV_GCaMP6f_F3	FCV	1	hexanal2.825	0.0030981132
230914_FCV_GCaMP6f_F3	FCV	2	hexanal2.825	0.0016558678
230915_FCV_GCaMP6f_F1	FCV	1	hexanal2.825	0.0007833445
230915_FCV_GCaMP6f_F1	FCV	2	hexanal2.825	0.0024179348
230913_ORL_GCaMP6f_F1	ORL	1	heptanal4.51	0.0005271851
230913_ORL_GCaMP6f_F1	ORL	2	heptanal4.51	0.0010509781
230913_ORL_GCaMP6f_F2	ORL	1	heptanal4.51	0.0013601047
230913_ORL_GCaMP6f_F2	ORL	2	heptanal4.51	0.0015700152
230914_ORL_GCaMP6f_F1	ORL	1	heptanal4.51	0.0070028934
230914_ORL_GCaMP6f_F1	ORL	2	heptanal4.51	0.00987728
230914_ORL_GCaMP6f_F2	ORL	1	heptanal4.51	0.003573206
230914_ORL_GCaMP6f_F2	ORL	2	heptanal4.51	0.0040658363
230915_ORL_GCaMP6f_F1	ORL	1	heptanal4.51	0.0019336338
230915_ORL_GCaMP6f_F1	ORL	2	heptanal4.51	0.0010550808
230913_U52_GCaMP6f_F2	U52	1	heptanal4.51	0.0015809105
230913_U52_GCaMP6f_F2	U52	2	heptanal4.51	0.0012288562
230913_U52_GCaMP6f_F3	U52	1	heptanal4.51	0.0036895692
230913_U52_GCaMP6f_F3	U52	2	heptanal4.51	0.0033038352
230914_U52_GCaMP6f_F1	U52	1	heptanal4.51	0.0054687764
230914_U52_GCaMP6f_F1	U52	2	heptanal4.51	0.0029674207
230914_U52_GCaMP6f_F2	U52	1	heptanal4.51	0.0036182995
230914_U52_GCaMP6f_F2	U52	2	heptanal4.51	0.0013184616
230915_U52_GCaMP6f_F2	U52	1	heptanal4.51	0.004106814
230915_U52_GCaMP6f_F2	U52	2	heptanal4.51	0.0020630404
230913_FCV_GCaMP6f_F1	FCV	1	heptanal4.51	0.0010900405
230913_FCV_GCaMP6f_F1	FCV	2	heptanal4.51	0.0007345091
230914_FCV_GCaMP6f_F1	FCV	1	heptanal4.51	0.005214783
230914_FCV_GCaMP6f_F1	FCV	2	heptanal4.51	0.0036655064
230914_FCV_GCaMP6f_F2	FCV	1	heptanal4.51	0.0045381095
230914_FCV_GCaMP6f_F2	FCV	2	heptanal4.51	0.0023541737
230914_FCV_GCaMP6f_F3	FCV	1	heptanal4.51	0.006949708
230914_FCV_GCaMP6f_F3	FCV	2	heptanal4.51	0.0029513515
230915_FCV_GCaMP6f_F1	FCV	1	heptanal4.51	0.0052024727
230915_FCV_GCaMP6f_F1	FCV	2	heptanal4.51	0.0020944779
230913_ORL_GCaMP6f_F1	ORL	1	heptanal4.065	0.00085549825
230913_ORL_GCaMP6f_F1	ORL	2	heptanal4.065	0.0009152104
230913_ORL_GCaMP6f_F2	ORL	1	heptanal4.065	0.00050082424
230913_ORL_GCaMP6f_F2	ORL	2	heptanal4.065	0.0014352002
230914_ORL_GCaMP6f_F1	ORL	1	heptanal4.065	0.002795617
230914_ORL_GCaMP6f_F1	ORL	2	heptanal4.065	0.0028351292
230914_ORL_GCaMP6f_F2	ORL	1	heptanal4.065	0.0009869976
230914_ORL_GCaMP6f_F2	ORL	2	heptanal4.065	0.001083968
230915_ORL_GCaMP6f_F1	ORL	1	heptanal4.065	0.00040782595
230915_ORL_GCaMP6f_F1	ORL	2	heptanal4.065	0.00040184305
230913_U52_GCaMP6f_F2	U52	1	heptanal4.065	0.0004609614
230913_U52_GCaMP6f_F2	U52	2	heptanal4.065	0.0007673274
230913_U52_GCaMP6f_F3	U52	1	heptanal4.065	0.0009590129
230913_U52_GCaMP6f_F3	U52	2	heptanal4.065	0.00048365805
230914_U52_GCaMP6f_F1	U52	1	heptanal4.065	0.0020412495
230914_U52_GCaMP6f_F1	U52	2	heptanal4.065	0.0011719778
230914_U52_GCaMP6f_F2	U52	1	heptanal4.065	0.002019029
230914_U52_GCaMP6f_F2	U52	2	heptanal4.065	0.0016406933
230915_U52_GCaMP6f_F2	U52	1	heptanal4.065	0.002865074
230915_U52_GCaMP6f_F2	U52	2	heptanal4.065	0.0014169704
230913_FCV_GCaMP6f_F1	FCV	1	heptanal4.065	0.0007878592
230913_FCV_GCaMP6f_F1	FCV	2	heptanal4.065	0.00024952675
230914_FCV_GCaMP6f_F1	FCV	1	heptanal4.065	0.003027777
230914_FCV_GCaMP6f_F1	FCV	2	heptanal4.065	0.00096813164
230914_FCV_GCaMP6f_F2	FCV	1	heptanal4.065	0.002256462
230914_FCV_GCaMP6f_F2	FCV	2	heptanal4.065	0.0011972929
230914_FCV_GCaMP6f_F3	FCV	1	heptanal4.065	0.004273542
230914_FCV_GCaMP6f_F3	FCV	2	heptanal4.065	0.0015242728
230915_FCV_GCaMP6f_F1	FCV	1	heptanal4.065	0.0030646133
230915_FCV_GCaMP6f_F1	FCV	2	heptanal4.065	0.0012963876
230913_ORL_GCaMP6f_F1	ORL	1	heptanal3.44	0.00043495416
230913_ORL_GCaMP6f_F1	ORL	2	heptanal3.44	0.00088836876
230913_ORL_GCaMP6f_F2	ORL	1	heptanal3.44	0.00097183837
230913_ORL_GCaMP6f_F2	ORL	2	heptanal3.44	0.0012674513
230914_ORL_GCaMP6f_F1	ORL	1	heptanal3.44	0.0009731797
230914_ORL_GCaMP6f_F1	ORL	2	heptanal3.44	0.0024505
230914_ORL_GCaMP6f_F2	ORL	1	heptanal3.44	0.0012501116
230914_ORL_GCaMP6f_F2	ORL	2	heptanal3.44	0.0010208855
230915_ORL_GCaMP6f_F1	ORL	1	heptanal3.44	0.0002859763
230915_ORL_GCaMP6f_F1	ORL	2	heptanal3.44	0.00034808408
230913_U52_GCaMP6f_F2	U52	1	heptanal3.44	0.00093736703
230913_U52_GCaMP6f_F2	U52	2	heptanal3.44	0.0004164546
230913_U52_GCaMP6f_F3	U52	1	heptanal3.44	0.00069464836
230913_U52_GCaMP6f_F3	U52	2	heptanal3.44	0.0011176256
230914_U52_GCaMP6f_F1	U52	1	heptanal3.44	0.0011556929
230914_U52_GCaMP6f_F1	U52	2	heptanal3.44	0.00046950963
230914_U52_GCaMP6f_F2	U52	1	heptanal3.44	0.0021170923
230914_U52_GCaMP6f_F2	U52	2	heptanal3.44	0.0006193576
230915_U52_GCaMP6f_F2	U52	1	heptanal3.44	0.0013805551
230915_U52_GCaMP6f_F2	U52	2	heptanal3.44	0.0006778473
230913_FCV_GCaMP6f_F1	FCV	1	heptanal3.44	0.00046217995
230913_FCV_GCaMP6f_F1	FCV	2	heptanal3.44	0.00035797065
230914_FCV_GCaMP6f_F1	FCV	1	heptanal3.44	0.001054192
230914_FCV_GCaMP6f_F1	FCV	2	heptanal3.44	0.001389584
230914_FCV_GCaMP6f_F2	FCV	1	heptanal3.44	0.0011133535
230914_FCV_GCaMP6f_F2	FCV	2	heptanal3.44	0.0010063641
230914_FCV_GCaMP6f_F3	FCV	1	heptanal3.44	0.0019309574
230914_FCV_GCaMP6f_F3	FCV	2	heptanal3.44	0.0014363795
230915_FCV_GCaMP6f_F1	FCV	1	heptanal3.44	0.0006501725
230915_FCV_GCaMP6f_F1	FCV	2	heptanal3.44	0.0008162351
230913_ORL_GCaMP6f_F1	ORL	1	octanal4.58	0.002368392
230913_ORL_GCaMP6f_F1	ORL	2	octanal4.58	0.002448524
230913_ORL_GCaMP6f_F2	ORL	1	octanal4.58	0.0058413083
230913_ORL_GCaMP6f_F2	ORL	2	octanal4.58	0.005690371
230914_ORL_GCaMP6f_F1	ORL	1	octanal4.58	0.013219967
230914_ORL_GCaMP6f_F1	ORL	2	octanal4.58	0.0126618305
230914_ORL_GCaMP6f_F2	ORL	1	octanal4.58	0.017162908
230914_ORL_GCaMP6f_F2	ORL	2	octanal4.58	0.011802172
230915_ORL_GCaMP6f_F1	ORL	1	octanal4.58	0.008426068
230915_ORL_GCaMP6f_F1	ORL	2	octanal4.58	0.0060902173
230913_U52_GCaMP6f_F2	U52	1	octanal4.58	0.0077055506
230913_U52_GCaMP6f_F2	U52	2	octanal4.58	0.003332256
230913_U52_GCaMP6f_F3	U52	1	octanal4.58	0.009190845
230913_U52_GCaMP6f_F3	U52	2	octanal4.58	0.004625991
230914_U52_GCaMP6f_F1	U52	1	octanal4.58	0.015812244
230914_U52_GCaMP6f_F1	U52	2	octanal4.58	0.006575726
230914_U52_GCaMP6f_F2	U52	1	octanal4.58	0.0073716682
230914_U52_GCaMP6f_F2	U52	2	octanal4.58	0.0028019692
230915_U52_GCaMP6f_F2	U52	1	octanal4.58	0.011367829
230915_U52_GCaMP6f_F2	U52	2	octanal4.58	0.0057921708
230913_FCV_GCaMP6f_F1	FCV	1	octanal4.58	0.0011600108
230913_FCV_GCaMP6f_F1	FCV	2	octanal4.58	0.0009275654
